Timestamp,Timepoint,SG,Temp,Color,Beer,Comment
9/20/2020,"44,094.03",1.0570,68,GREEN,EPA IPA,
9/20/2020,"44,094.04",1.0562,68,GREEN,EPA IPA,
9/20/2020,"44,094.05",1.0560,68,GREEN,EPA IPA,
9/20/2020,"44,094.06",1.0560,68,GREEN,EPA IPA,
9/20/2020,"44,094.07",1.0560,69,GREEN,EPA IPA,
9/20/2020,"44,094.08",1.0560,69,GREEN,EPA IPA,
9/20/2020,"44,094.09",1.0558,69,GREEN,EPA IPA,
9/20/2020,"44,094.10",1.0558,69,GREEN,EPA IPA,
9/20/2020,"44,094.11",1.0552,69,GREEN,EPA IPA,
9/20/2020,"44,094.12",1.0550,69,GREEN,EPA IPA,
9/20/2020,"44,094.13",1.0550,69,GREEN,EPA IPA,
9/20/2020,"44,094.14",1.0550,67,GREEN,EPA IPA,
9/20/2020,"44,094.15",1.0545,67,GREEN,EPA IPA,
9/20/2020,"44,094.16",1.0542,67,GREEN,EPA IPA,
9/20/2020,"44,094.17",1.0540,68,GREEN,EPA IPA,
9/20/2020,"44,094.19",1.0537,68,GREEN,EPA IPA,
9/20/2020,"44,094.20",1.0540,68,GREEN,EPA IPA,
9/20/2020,"44,094.21",1.0537,68,GREEN,EPA IPA,
9/20/2020,"44,094.22",1.0530,68,GREEN,EPA IPA,
9/20/2020,"44,094.23",1.0532,68.2,GREEN,EPA IPA,
9/20/2020,"44,094.24",1.0530,69,GREEN,EPA IPA,
9/20/2020,"44,094.25",1.0522,69,GREEN,EPA IPA,
9/20/2020,"44,094.26",1.0520,69,GREEN,EPA IPA,
9/20/2020,"44,094.27",1.0520,69,GREEN,EPA IPA,
9/20/2020,"44,094.28",1.0518,69,GREEN,EPA IPA,
9/20/2020,"44,094.29",1.0510,69,GREEN,EPA IPA,
9/20/2020,"44,094.30",1.0510,68.7,GREEN,EPA IPA,
9/20/2020,"44,094.31",1.0500,66,GREEN,EPA IPA,
9/20/2020,"44,094.32",1.0500,67,GREEN,EPA IPA,
9/20/2020,"44,094.33",1.0500,67,GREEN,EPA IPA,
9/20/2020,"44,094.34",1.0500,68,GREEN,EPA IPA,
9/20/2020,"44,094.35",1.0500,68,GREEN,EPA IPA,
9/20/2020,"44,094.36",1.0500,68,GREEN,EPA IPA,
9/20/2020,"44,094.37",1.0498,68,GREEN,EPA IPA,
9/20/2020,"44,094.38",1.0490,68.8,GREEN,EPA IPA,
9/20/2020,"44,094.39",1.0492,69,GREEN,EPA IPA,
9/20/2020,"44,094.41",1.0480,69,GREEN,EPA IPA,
9/20/2020,"44,094.43",1.0480,69,GREEN,EPA IPA,
9/20/2020,"44,094.44",1.0480,69,GREEN,EPA IPA,
9/20/2020,"44,094.45",1.0475,67,GREEN,EPA IPA,
9/20/2020,"44,094.47",1.0468,67.7,GREEN,EPA IPA,
9/20/2020,"44,094.48",1.0462,68,GREEN,EPA IPA,
9/20/2020,"44,094.49",1.0457,68,GREEN,EPA IPA,
9/20/2020,"44,094.50",1.0440,68.2,GREEN,EPA IPA,
9/20/2020,"44,094.51",1.0430,69,GREEN,EPA IPA,
9/20/2020,"44,094.52",1.0418,69,GREEN,EPA IPA,
9/20/2020,"44,094.53",1.0430,69,GREEN,EPA IPA,
9/20/2020,"44,094.54",1.0425,69,GREEN,EPA IPA,
9/20/2020,"44,094.55",1.0402,67,GREEN,EPA IPA,
9/20/2020,"44,094.56",1.0400,67,GREEN,EPA IPA,
9/20/2020,"44,094.57",1.0393,68,GREEN,EPA IPA,
9/20/2020,"44,094.58",1.0393,68,GREEN,EPA IPA,
9/20/2020,"44,094.59",1.0383,68,GREEN,EPA IPA,
9/20/2020,"44,094.60",1.0402,69,GREEN,EPA IPA,
9/20/2020,"44,094.61",1.0393,69,GREEN,EPA IPA,
9/20/2020,"44,094.62",1.0387,69,GREEN,EPA IPA,
9/20/2020,"44,094.63",1.0372,69,GREEN,EPA IPA,
